,brand_name,brand_id,item_name,item_id,item_type,tag,calories,total_fat,saturated_fat,cholesterol,carbs,sugar,protein,sodium,dietary_fiber,servings_per_container,serving_size_qty,serving_size_unit,serving_weight_grams,last_updated
320,McDonald's,513fbc1283aa2dc80c000053,Bacon & Cheese Sirloin Third Pound Burger,ddee52564fe7e8c11aacf82c,entree,none,810.0,40.0,17.0,155.0,65.0,13.0,46.0,2030,4.0,,10.3,oz,292.0,2017-09-06
321,McDonald's,513fbc1283aa2dc80c000053,"Frozen Strawberry Lemonade, Small",ddee52567b9de86d26f386b4,drink,juice,180.0,0.0,0.0,0.0,48.0,43.0,1.0,10,0.0,,14.1,oz,399.0,2017-09-06
322,McDonald's,513fbc1283aa2dc80c000053,Pumpkin and Creme Pie,ddee5256910abc2ace4c9b53,dessert,none,280.0,16.0,9.0,10.0,31.0,13.0,3.0,170,1.0,,2.7,oz,77.0,2017-09-06
323,McDonald's,513fbc1283aa2dc80c000053,Lettuce & Tomato Sirloin Third Pound Burger,ddee525695a91f1e9c46b396,entree,none,750.0,38.0,17.0,135.0,63.0,10.0,39.0,1600,4.0,,10.9,oz,310.0,2017-09-06
324,McDonald's,513fbc1283aa2dc80c000053,"Iced Classic Lemonade, Large",23cb59490d29c72cfb26c083,drink,juice,170.0,0.0,0.0,0.0,43.0,37.0,1.0,15,1.0,,20.3,oz,574.0,2017-09-06
325,McDonald's,513fbc1283aa2dc80c000053,"Southern Style Iced Strawberry Lemonade, Large",23cb594929d13e2442bcc9ad,drink,juice,290.0,0.0,0.0,0.0,78.0,71.0,1.0,180,1.0,,22.9,oz,649.0,2017-09-06
326,McDonald's,513fbc1283aa2dc80c000053,"Frappe Oreo, Medium",23cb5949571186814482faed,drink,coffee,580.0,21.0,13.0,65.0,91.0,74.0,8.0,180,1.0,,18.3,oz,518.0,2017-09-06
327,McDonald's,513fbc1283aa2dc80c000053,"Frozen Strawberry Lemonade, Large",23cb594963fca9d56aa8e5a1,drink,juice,290.0,0.0,0.0,0.0,76.0,68.0,1.0,20,1.0,,22.1,oz,627.0,2017-09-06
328,McDonald's,513fbc1283aa2dc80c000053,"Southern Style Iced Strawberry Lemonade, Small",23cb5949fc1ce03311ac4614,drink,juice,160.0,0.0,0.0,0.0,44.0,40.0,0.0,105,1.0,,13.8,oz,390.0,2017-09-06
329,McDonald's,513fbc1283aa2dc80c000053,"Bacon, Egg & Cheese McGriddles",513fc9e73fe3ffd403001099,entree,breakfast,420.0,18.0,8.0,195.0,45.0,15.0,18.0,1230,2.0,,6.2,oz,175.0,2017-09-06
330,McDonald's,513fbc1283aa2dc80c000053,Baked Hot Apple Pie,513fc9e73fe3ffd40300109a,dessert,none,230.0,10.0,5.0,0.0,32.0,13.0,2.0,160,4.0,,2.6,oz,75.0,2017-09-06
331,McDonald's,513fbc1283aa2dc80c000053,Big Mac,513fc9e73fe3ffd40300109f,entree,none,540.0,28.0,10.0,80.0,46.0,9.0,25.0,950,3.0,,7.5,oz,212.0,2017-09-06
332,McDonald's,513fbc1283aa2dc80c000053,Chicken McNuggets (20 piece),513fc9e73fe3ffd4030010a9,dessert,none,890.0,53.0,9.0,145.0,53.0,0.0,49.0,1680,4.0,,20.0,pieces,323.0,2017-09-06
333,McDonald's,513fbc1283aa2dc80c000053,Chocolate Chip Cookie,513fc9e73fe3ffd4030010b1,dessert,soda,170.0,7.0,3.5,10.0,23.0,15.0,2.0,90,1.0,,1.0,cookie,33.0,2017-09-06
334,McDonald's,513fbc1283aa2dc80c000053,"Coca-Cola, Extra Small",513fc9e73fe3ffd4030010b6,drink,soda,110.0,0.0,0.0,0.0,30.0,30.0,0.0,25,0.0,,12.0,fl oz cup,,2017-09-06
335,McDonald's,513fbc1283aa2dc80c000053,Daily Double,513fc9e73fe3ffd4030010bc,misc,none,430.0,22.0,10.0,75.0,35.0,6.0,23.0,760,2.0,,6.8,oz,191.0,2017-09-06
336,McDonald's,513fbc1283aa2dc80c000053,"Dr Pepper, Large",513fc9e73fe3ffd4030010c8,drink,soda,290.0,0.0,0.0,0.0,79.0,78.0,0.0,95,0.0,,30.0,fl oz cup,,2017-09-06
